mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,label
197.09386,-1.0687941,0.5143855,0.2506275,0.10711791,-0.93083817,-0.4959467,-0.54213667,-0.50523466,-0.3456345,0.22232409,1.1352447,0.6212355,1.1098167,0.07252216,0.46743274,0.40866104,-0.3741228,belly_pain
-312.36972,46.63203,-34.451168,-19.689533,-29.646425,-16.595608,-20.132698,-16.084082,-14.077602,-8.615886,-8.868891,-8.36584,-6.1850767,-3.7127838,-4.736622,-0.11870766,-4.099225,-6.80203,belly_pain
-292.33923,26.429245,-9.500657,-36.90738,-22.700125,-24.512053,-18.053413,-15.564288,-12.391444,-1.6719873,9.101814,13.163427,6.5159245,-2.915441,-5.4616966,-2.0327368,-4.894789,-5.338183,belly_pain
-304.17508,41.778366,-26.64577,-17.834064,-29.084251,-16.714413,-19.668499,-15.114859,-17.234327,-9.661562,-10.691089,-6.565115,-10.446559,-3.2087822,-7.085916,-3.4649694,-1.2124891,-2.0614126,belly_pain
-303.52203,28.62519,-41.923992,11.036193,-54.66636,25.682194,-11.044602,-6.616596,-5.255691,-9.44117,-14.112905,-2.981177,1.63501,4.802468,1.6934919,-6.903916,-6.6759377,-1.8333136,belly_pain
-171.50912,41.75074,-15.136598,-21.78959,-37.2249,-26.083994,-20.842268,-14.546901,-14.98194,-10.887066,-10.158533,-4.3465905,-6.528755,-5.5476484,-14.652992,-10.65159,-9.59556,-3.9413571,belly_pain
-324.04413,72.7058,-2.6130989,4.2740626,-21.39959,-1.2590215,-4.572698,-5.0609345,-22.685047,-13.83153,-7.670797,-8.751708,5.3236384,5.144583,-7.8316793,-10.434969,-7.333183,-9.981217,belly_pain
197.73993,-1.2950025,0.39945817,0.22125287,-0.272853,-0.32376143,-0.4539589,-0.3065662,-0.017037276,0.12325563,0.08035,0.6186599,0.3888071,0.37708804,-0.09263724,-1.0197824,-0.75891525,-0.59741515,belly_pain
-119.306,28.296005,-32.92665,-32.28137,-23.559893,-12.247208,-2.1667657,-4.802995,-10.814645,-7.158372,-10.734649,-1.1721159,3.5531938,14.648765,6.167605,-1.6660196,-7.542042,-1.346123,belly_pain
-269.01703,30.347301,-28.362514,-14.677662,-28.061993,-7.652708,-16.747017,-3.2243278,-12.510828,-10.687744,-9.279723,-6.880267,-3.6432433,-2.0510988,-1.0047852,2.9881268,-2.3916693,-3.2478254,belly_pain
-260.6426,15.821265,-30.619417,-23.28338,-22.043417,-8.8378105,-12.664165,-8.730292,-15.678594,-5.647143,-6.708921,0.33514878,-0.83685285,1.7785121,-2.470304,-8.020442,-4.3900466,-4.0158267,belly_pain
-311.5338,45.313267,-35.029327,-20.611563,-29.446777,-16.943533,-20.237371,-16.183266,-13.377313,-8.76188,-8.764351,-8.535996,-5.1876225,-4.0692663,-3.7304945,-0.5706227,-5.424609,-6.184971,belly_pain
-181.77298,51.906734,-22.595877,-23.593365,-38.877354,-24.197996,-19.299078,-14.509445,-13.815501,-9.966834,-6.9438252,-4.462583,-6.8687873,-10.808995,-14.164424,-8.123685,-5.317701,-4.195187,belly_pain
-254.36484,31.96664,-43.402626,-23.271896,-28.314072,-21.001617,-14.509073,-17.65042,-14.183784,1.8270413,0.71761054,-2.7823691,-8.265852,-5.600788,-1.3770282,-6.4336553,-5.294722,1.0229785,belly_pain
-383.83685,38.42685,-19.573416,-8.295808,-19.08788,-19.339638,-16.69402,-14.295871,-14.658419,-14.466269,-15.46656,-7.0201983,-10.4391775,4.8872023,5.0709405,-3.1117287,-9.238772,-4.8649044,belly_pain
-188.53009,59.955704,-18.620987,-13.857164,-35.820995,-25.930473,-21.668482,-14.280565,-14.297158,-10.947071,-11.0470915,-5.771083,-5.843613,-2.698573,-9.1287985,-11.480472,-11.293444,-6.3072267,belly_pain
-410.22464,28.153305,-42.018295,-3.981621,-29.87271,3.519023,-15.203331,2.1705952,-12.381194,-9.82018,-4.8339896,10.943879,10.911974,1.118551,-5.578861,-1.0054297,-1.6707582,-11.183017,belly_pain
-323.765,72.99279,-3.2196107,4.6763325,-21.205847,-2.4591444,-4.5326405,-4.495437,-21.714735,-15.1265,-7.485531,-10.514229,4.7698526,5.5417666,-5.688981,-11.147194,-7.8264294,-9.422527,belly_pain
197.16019,-1.0351903,0.8707796,-0.016191293,0.09140762,0.25425398,0.14982678,-0.0831816,0.10977312,-0.08108198,0.19253346,0.5936271,-0.25487176,-0.19134413,-0.13138497,-0.47813943,-0.4399498,0.07914236,belly_pain
-294.85608,29.283203,-7.5954556,-34.826622,-22.302263,-24.504112,-18.182999,-15.019141,-13.90344,-5.093936,4.6289415,13.338694,9.7574,1.3186015,-5.2370477,-2.5341496,-3.4077008,-4.918816,belly_pain
197.68144,-1.1213923,0.4009466,0.05325444,0.49990606,-0.21940869,-0.8742755,0.248031,0.55161375,0.95866925,0.3792464,0.48527342,0.33475736,0.34580526,-0.18228352,0.045724217,0.6515856,0.83932537,belly_pain
-256.7098,40.42298,-27.768675,-10.82978,-20.065788,-8.204717,-18.410852,-11.5241,-13.262711,-10.4550705,-6.741185,0.39714578,4.721006,-3.4946969,-6.4963408,-7.0558734,-5.6422777,-8.111815,belly_pain
-319.54123,70.7969,-6.111345,1.3201292,-23.14601,0.7479986,-7.5969696,-9.086764,-27.096802,-8.273579,-10.666217,-1.9518754,6.21195,-0.4791369,-14.267309,-8.804449,-9.187533,-10.965753,belly_pain
197.11719,-1.458786,1.2071728,0.18801183,-0.17367397,-0.14036447,-0.54749525,0.05239856,-0.16466403,-0.15354507,0.0187355,-0.0635501,-0.74403054,-0.5041695,-0.36601898,-0.23251341,-0.12905905,-0.029905355,belly_pain
-324.71002,66.49421,-29.105856,-9.291968,-27.938416,-16.565876,-17.83021,-13.664436,-15.989453,-12.562516,-10.714367,-7.8733397,-7.4299083,-8.785406,-2.9987795,-6.760714,-4.919851,-1.9680685,belly_pain
198.9293,-4.023259,1.245413,1.4631858,-2.0581934,2.3060079,-2.2150605,0.9963943,0.5426889,-2.5971029,1.2725132,-0.21070078,-0.1491382,0.1973302,-1.1091348,0.42564702,0.03390058,-0.7388492,belly_pain
-303.28653,57.470528,-3.897274,-3.62009,-22.772476,2.993505,-11.351923,-14.612647,-28.033195,-2.3755765,-10.980385,5.60365,1.4248687,-10.30412,-15.941107,-6.3357525,-13.719677,-10.878846,belly_pain
-114.75089,24.876024,-47.111202,-31.250658,-18.805433,-1.8957078,-4.928747,-13.462487,-6.6522045,-6.2357483,7.439896,9.804901,6.480432,-7.1598854,-5.333635,0.71280855,0.5105499,-5.108787,belly_pain
198.19547,-0.19100545,-1.4625145,-2.1097696,-2.126751,-0.40140277,0.92163676,0.4524267,0.01051761,-0.9638947,-1.4255832,-0.14934017,2.0358078,2.7761846,0.84372854,-0.8115899,-1.4062002,-0.6962773,belly_pain
-253.36061,-15.494895,-49.20046,-5.0510483,-5.8439612,-3.6886034,-17.54598,0.07926891,-15.59416,2.2291982,7.0843334,7.1369514,4.6873884,-7.374142,-5.3384175,-2.4754229,-6.7723894,-6.096781,belly_pain
-132.02798,44.94691,-34.529697,-27.457476,-25.056799,-14.015629,-4.7449956,-2.0346136,-9.289655,-6.663056,-11.240854,-6.015449,-2.4180446,9.752062,11.373168,5.2507052,-3.6375704,-4.88542,belly_pain
-246.26158,-18.899513,-42.17295,-0.23330566,2.8324692,-8.133402,-12.993927,-3.3155463,-11.050973,10.453184,6.384418,6.0752673,-3.559801,-9.565759,-1.8951738,-6.5415263,-5.7242413,-4.8891892,belly_pain
-205.53317,-3.9317133,-60.691994,-15.319602,-19.8319,15.952439,-13.001482,-7.2749248,-0.35230333,-14.022815,-11.301243,3.43441,5.0937967,12.408036,-0.18537948,-5.00771,1.7874267,-5.1448374,belly_pain
-205.10532,-4.514304,-60.440224,-15.233828,-18.957865,16.791742,-14.148845,-5.3806005,-0.5447605,-13.730102,-9.289204,4.761332,7.0623775,11.950629,-0.9144169,-4.306181,1.8606334,-5.4773474,belly_pain
-401.64627,60.117622,-23.502605,-2.2017674,-16.61251,-15.901042,-16.98766,-12.945766,-13.688851,-11.304512,-15.761811,-9.645568,-9.472928,-11.198882,2.3512857,5.4677043,1.7717887,-5.9415164,belly_pain
-391.40652,78.3516,-11.60971,-11.10046,-21.591078,-18.865679,-19.144688,-19.801308,-12.20228,-7.06424,-9.802309,-7.449766,-5.0305734,-3.4803689,1.9249687,0.797711,-1.8569391,-1.2716743,belly_pain
-301.9897,53.6882,-12.29361,-14.7145195,-26.409243,-24.114305,-24.59904,-18.727726,-16.138214,-14.241489,-13.173961,1.4342549,7.004774,4.9196315,-0.87206244,-1.4354059,-5.679204,-4.696288,belly_pain
197.0626,-1.5480584,0.6996526,0.09368483,0.018657804,-0.5450025,-0.4676126,-0.20918621,-0.1266583,-0.28668877,0.31895247,0.6183287,0.15175763,0.34096393,-0.037247375,-0.28436604,0.12414189,-0.80814505,belly_pain
-392.0074,43.013638,-26.675625,-9.188514,-24.368967,-19.107319,-16.991407,-15.373037,-15.920232,-16.106035,-7.7992244,-5.126322,3.8288229,4.801894,-9.475238,-8.9988575,-4.755479,-5.9926834,belly_pain
-288.23346,21.430815,-15.899902,-38.56218,-24.187046,-23.548164,-17.32794,-15.605751,-4.1951766,7.5268655,14.622647,7.542369,-3.4123406,-6.256075,-2.0984619,-4.7258883,-6.304797,-1.288494,belly_pain
-261.4977,16.92105,-30.261536,-22.52129,-23.03267,-8.51316,-13.552769,-7.4141693,-16.279657,-6.5413847,-7.2052746,-0.4121557,-1.1412406,1.7305062,-0.8266116,-7.390289,-4.9342628,-4.6937656,belly_pain
-48.02419,-67.316086,-35.05552,1.9062963,-26.182196,15.687548,-39.663452,10.161191,-8.019355,-13.513211,-5.074637,3.2686853,-3.4079924,5.786301,0.28063095,3.603959,-8.367641,-7.0900435,belly_pain
-283.2804,18.541218,0.68821406,-34.2052,-21.659473,-24.454397,-19.108223,-14.698358,-15.293093,-8.801238,-2.7222607,9.429683,11.124146,8.1330805,-2.409436,-3.6164837,-2.9670286,-3.6776702,belly_pain
-49.088898,-67.88578,-24.486677,0.069737114,-16.27299,-3.8184106,-23.679693,14.4255905,-19.080086,-1.2118437,3.9722357,1.6559244,2.6067536,1.5469109,-3.5882092,-6.149799,-5.2519746,1.1787087,belly_pain
-291.07544,39.687973,-22.377644,-29.567295,-31.840168,-28.442019,-22.976753,-17.14895,-10.176988,2.431281,12.018778,-0.14253843,-5.449552,-5.8602076,-8.452877,-9.963424,-6.4583845,-0.86714727,belly_pain
-239.97354,19.460602,-25.53391,-16.448624,-19.378609,-11.193517,-21.968483,-10.154885,-16.293879,-4.4716544,-2.4285238,6.2981977,-7.3843904,-7.863813,-9.347937,-5.641838,-9.570856,-3.946835,belly_pain
-252.5375,35.876537,-35.229088,-20.087471,-29.121035,-21.324642,-22.387125,-8.064095,-21.706665,-13.8856735,-8.505555,-0.13246867,-0.6432799,-1.7929496,-10.286125,-3.4964592,-5.249101,-2.488435,belly_pain
-374.42975,62.808083,-15.663871,-15.977385,-25.642393,-19.057484,-22.404472,-15.582701,-8.043987,-8.955859,-9.613369,-3.2104404,-2.410134,2.9498756,-0.261822,-2.554349,-0.8567942,-1.5711619,belly_pain
-305.57617,36.217495,-33.907757,10.666944,-42.183006,3.3572607,5.534852,-7.452168,-5.52683,-0.107005164,-13.246698,-8.637152,-5.2077074,-0.4393156,5.171849,4.5125546,-3.51577,-5.4391017,belly_pain
-381.35654,67.87105,-24.76498,-19.237713,-27.787643,-20.86678,-22.185806,-11.506409,-8.165691,-11.078519,-4.7031417,-0.8498424,1.3615683,0.44377968,-4.099618,-1.3361764,-2.9011624,-6.8312206,belly_pain
-57.916965,-51.370716,-41.02067,6.2330747,-28.289448,18.261366,-32.77178,-0.98267615,0.81587106,-11.99972,-9.2467165,2.477933,-2.4526062,2.7859597,1.373436,4.968123,0.7075075,-7.2500043,belly_pain
197.3158,-1.4581687,0.77748275,-0.17631137,-0.4029174,-0.26230034,0.18319742,-0.17702392,-0.3894814,0.13241729,0.38691682,-0.0054705315,-0.037271902,-0.40570095,0.5863334,-0.117495894,-0.42361704,0.10861268,belly_pain
197.49686,-1.3801829,0.7171678,-0.559206,0.06971256,-0.28166562,0.24501266,0.16716878,0.05430623,-0.10023802,0.6227074,0.59341276,0.029844008,-0.33597416,-0.33665624,0.01409784,0.28940922,0.17034096,belly_pain
-36.887608,-58.55366,-15.021594,-0.8776725,5.732753,-5.679801,-15.171963,10.899814,-18.965027,10.141548,2.9463358,4.5813394,1.9504222,-2.1731558,-3.4963546,-2.782201,-0.31740254,-1.5573907,belly_pain
197.06367,-1.5603216,0.20300801,-0.7268422,-0.676856,-0.438118,0.038329188,-0.04656473,-0.50163764,-0.30220303,-0.15303612,-0.22671188,0.05669948,0.19674633,0.17026407,-0.7535027,-0.95599395,-0.33794883,belly_pain
-294.7115,43.56658,-19.504887,-25.891535,-31.173325,-27.756493,-24.018768,-18.259483,-14.739998,-6.004592,8.173522,7.667752,-2.7065916,-4.778152,-5.27265,-9.756613,-7.9372234,-8.248463,belly_pain
-198.82831,-30.593277,-56.8744,-8.597816,-1.1764296,1.7771735,-19.469809,2.3073156,-17.853264,9.519481,12.984155,6.0451045,-3.6402912,-6.5387554,2.1944513,-6.202183,-5.2876353,-3.8663197,belly_pain
-251.53403,-11.821387,-54.32311,-6.636455,-14.840372,9.444464,-25.303534,3.604219,-15.694831,-6.6151752,-3.2696464,7.34761,4.9587655,10.211358,-9.126408,-2.2839515,-7.5343633,-3.3120043,belly_pain
-411.10025,38.54371,-34.36047,-1.7756739,-25.31467,-5.4509206,-9.682997,-6.0645337,-1.3823553,-5.1416225,-10.349361,-8.68034,-2.940147,10.099071,8.927596,2.6374462,-5.449326,1.793001,belly_pain
